KL: [02:33:03.719] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [1] 蓝史莱姆 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.749] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [34] 诅咒骷髅头 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.750] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [35] 骷髅王 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.751] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [36] 骷髅王 => None, PrimaryEnvironment: None
KL: [02:33:03.752] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [37] 老人 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.753] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [38] 爆破专家 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.753] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [39] 骨蛇 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.754] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [40] 骨蛇 => None, PrimaryEnvironment: None
KL: [02:33:03.755] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [41] 骨蛇 => None, PrimaryEnvironment: None
KL: [02:33:03.756] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [42] 黄蜂 => UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.758] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [43] 食人怪 => UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.759] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [44] 不死矿工 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.760] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [45] 蒂姆 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.761] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [46] 兔兔 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.762] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [47] 腐化兔 => None, PrimaryEnvironment: None
KL: [02:33:03.762] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [48] 鸟妖 => Sky, PrimaryEnvironment: Sky
KL: [02:33:03.763] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [49] 洞穴蝙蝠 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.764] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [50] 史莱姆王 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.765] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [51] 丛林蝙蝠 => Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.766] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [52] 骷髅博士 => Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.767] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [53] 僵尸新郎 => None, PrimaryEnvironment: None
KL: [02:33:03.768] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [54] 服装商 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.769] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [55] 金鱼 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.770] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [56] 抓人草 => Jungle, PrimaryEnvironment: Jungle
KL: [02:33:03.771] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [57] 腐化金鱼 => None, PrimaryEnvironment: None
KL: [02:33:03.772] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [58] 食人鱼 => Underground, Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.773] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [59] 熔岩史莱姆 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.774] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [60] 地狱蝙蝠 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.775] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [61] 秃鹰 => Desert, PrimaryEnvironment: Desert
KL: [02:33:03.776] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [62] 恶魔 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.777] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [63] 蓝水母 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.778] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [64] 粉水母 => Ocean, PrimaryEnvironment: Ocean
KL: [02:33:03.779] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [65] 鲨鱼 => Ocean, PrimaryEnvironment: Ocean
KL: [02:33:03.780] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [66] 巫毒恶魔 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.781] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [67] 螃蟹 => Ocean, PrimaryEnvironment: Ocean
KL: [02:33:03.782] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [68] 地牢守卫 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.783] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [69] 蚁狮 => Desert, UndergroundDesert, PrimaryEnvironment: UndergroundDesert
KL: [02:33:03.784] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [70] 尖刺球 => None, PrimaryEnvironment: None
KL: [02:33:03.785] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [71] 地牢史莱姆 => Dungeon, PrimaryEnvironment: Dungeon
KL: [02:33:03.786] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [72] 烈焰火轮 => None, PrimaryEnvironment: None
KL: [02:33:03.787] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [73] 哥布林侦察兵 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.788] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [74] 鸟 => Surface, PrimaryEnvironment: Surface
KL: [02:33:03.789] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [75] 妖精 => Hallow, PrimaryEnvironment: Hallow
KL: [02:33:03.793] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [76] NPCName.None2 => None, PrimaryEnvironment: None
KL: [02:33:03.794] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [77] 装甲骷髅 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.795] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [78] 木乃伊 => Desert, UndergroundDesert, PrimaryEnvironment: UndergroundDesert
KL: [02:33:03.796] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [79] 暗黑木乃伊 => CorruptDesert, CorruptUndergroundDesert, PrimaryEnvironment: CorruptUndergroundDesert
KL: [02:33:03.797] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [80] 光明木乃伊 => HallowDesert, HallowUndergroundDesert, PrimaryEnvironment: HallowUndergroundDesert
KL: [02:33:03.798] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [81] 腐化史莱姆 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.799] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [82] 幻灵 => None, PrimaryEnvironment: None
KL: [02:33:03.800] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [83] 诅咒锤 => UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.801] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [84] 附魔剑 => UndergroundHallow, PrimaryEnvironment: UndergroundHallow
KL: [02:33:03.802] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [85] 宝箱怪 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.802] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [86] 独角兽 => Hallow, PrimaryEnvironment: Hallow
KL: [02:33:03.804] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [87] 飞龙 => Sky, PrimaryEnvironment: Sky
KL: [02:33:03.805] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [88] 飞龙 => None, PrimaryEnvironment: None
KL: [02:33:03.806] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [89] 飞龙 => None, PrimaryEnvironment: None
KL: [02:33:03.807] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [90] 飞龙 => None, PrimaryEnvironment: None
KL: [02:33:03.807] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [91] 飞龙 => None, PrimaryEnvironment: None
KL: [02:33:03.808] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [92] 飞龙 => None, PrimaryEnvironment: None
KL: [02:33:03.809] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [93] 巨型蝙蝠 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.810] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [94] 腐化者 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.811] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [95] 挖掘怪 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.812] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [96] 挖掘怪 => None, PrimaryEnvironment: None
KL: [02:33:03.813] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [97] 挖掘怪 => None, PrimaryEnvironment: None
KL: [02:33:03.814] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [98] 吞世怪 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.815] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [99] 吞世怪 => None, PrimaryEnvironment: None
KL: [02:33:03.816] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [100] 吞世怪 => None, PrimaryEnvironment: None
KL: [02:33:03.817] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [101] 爬藤怪 => UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.818] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [102] 琵琶鱼 => Caverns, Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.819] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [103] 绿水母 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.820] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [104] 狼人 => None, PrimaryEnvironment: None
KL: [02:33:03.821] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [105] 受缚哥布林 => None, PrimaryEnvironment: None
KL: [02:33:03.822] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [106] 受缚巫师 => None, PrimaryEnvironment: None
KL: [02:33:03.823] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [107] 哥布林工匠 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.824] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [108] 巫师 => Hallow, PrimaryEnvironment: Hallow
KL: [02:33:03.825] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [109] 小丑 => None, PrimaryEnvironment: None
KL: [02:33:03.826] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [110] 骷髅弓箭手 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.827] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [111] 哥布林弓箭手 => None, PrimaryEnvironment: None
KL: [02:33:03.828] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [112] 魔唾液 => None, PrimaryEnvironment: None
KL: [02:33:03.829] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [113] 血肉墙 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.830] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [114] 血肉墙 => None, PrimaryEnvironment: None
KL: [02:33:03.831] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [115] 饿鬼 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.832] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [116] 饿鬼 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.833] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [117] 血蛭 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.834] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [118] 血蛭 => None, PrimaryEnvironment: None
KL: [02:33:03.835] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [119] 血蛭 => None, PrimaryEnvironment: None
KL: [02:33:03.836] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [120] 混沌精 => UndergroundHallow, PrimaryEnvironment: UndergroundHallow
KL: [02:33:03.837] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [121] 恶翅史莱姆 => Corruption, UndergroundCorruption, PrimaryEnvironment: UndergroundCorruption
KL: [02:33:03.838] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [122] 腹足怪 => Hallow, PrimaryEnvironment: Hallow
KL: [02:33:03.839] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [123] 受缚机械师 => None, PrimaryEnvironment: None
KL: [02:33:03.839] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [124] 机械师 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.840] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [125] 激光眼 => None, PrimaryEnvironment: None
KL: [02:33:03.841] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [126] 魔焰眼 => None, PrimaryEnvironment: None
KL: [02:33:03.842] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [127] 机械骷髅王 => None, PrimaryEnvironment: None
KL: [02:33:03.843] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [128] 机械炮 => None, PrimaryEnvironment: None
KL: [02:33:03.844] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [129] 机械锯 => None, PrimaryEnvironment: None
KL: [02:33:03.845] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [130] 机械钳 => None, PrimaryEnvironment: None
KL: [02:33:03.845] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [131] 机械激光 => None, PrimaryEnvironment: None
KL: [02:33:03.846] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [132] 僵尸 => None, PrimaryEnvironment: None
KL: [02:33:03.847] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [133] 游荡眼球怪 => None, PrimaryEnvironment: None
KL: [02:33:03.848] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [134] 毁灭者 => None, PrimaryEnvironment: None
KL: [02:33:03.849] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [135] 毁灭者 => None, PrimaryEnvironment: None
KL: [02:33:03.850] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [136] 毁灭者 => None, PrimaryEnvironment: None
KL: [02:33:03.851] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [137] 夜明蝙蝠 => UndergroundHallow, PrimaryEnvironment: UndergroundHallow
KL: [02:33:03.852] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [138] 夜明史莱姆 => UndergroundHallow, PrimaryEnvironment: UndergroundHallow
KL: [02:33:03.853] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [139] 探测怪 => None, PrimaryEnvironment: None
KL: [02:33:03.854] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [140] 装甲幻影魔 => None, PrimaryEnvironment: None
KL: [02:33:03.855] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [141] 毒泥 => Underground, PrimaryEnvironment: Underground
KL: [02:33:03.856] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [142] 圣诞老人 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.857] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [143] 雪人暴徒 => None, PrimaryEnvironment: None
KL: [02:33:03.858] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [144] 戳刺先生 => None, PrimaryEnvironment: None
KL: [02:33:03.859] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [145] 巴拉雪人 => None, PrimaryEnvironment: None
KL: [02:33:03.860] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [146] NPCName.None3 => None, PrimaryEnvironment: None
KL: [02:33:03.861] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [147] 冰雪史莱姆 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.862] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [148] 企鹅 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.863] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [149] 企鹅 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.864] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [150] 冰雪蝙蝠 => UndergroundSnow, PrimaryEnvironment: UndergroundSnow
KL: [02:33:03.865] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [151] 熔岩蝙蝠 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.866] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [152] 巨型飞狐 => Jungle, PrimaryEnvironment: Jungle
KL: [02:33:03.867] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [153] 巨型陆龟 => Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.868] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [154] 冰雪陆龟 => UndergroundSnow, PrimaryEnvironment: UndergroundSnow
KL: [02:33:03.869] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [155] 狼 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.870] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [156] 红魔鬼 => Underworld, PrimaryEnvironment: Underworld
KL: [02:33:03.871] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [157] 巨骨舌鱼 => Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.872] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [158] 吸血鬼 => None, PrimaryEnvironment: None
KL: [02:33:03.873] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [159] 吸血鬼 => None, PrimaryEnvironment: None
KL: [02:33:03.873] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [160] 松露人 => SurfaceMushroom, PrimaryEnvironment: SurfaceMushroom
KL: [02:33:03.874] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [161] 冰冻僵尸 => Snow, PrimaryEnvironment: Snow
KL: [02:33:03.875] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [162] 科学怪人 => None, PrimaryEnvironment: None
KL: [02:33:03.876] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [163] 黑隐士 => None, PrimaryEnvironment: None
KL: [02:33:03.877] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [164] 爬墙蜘蛛 => None, PrimaryEnvironment: None
KL: [02:33:03.878] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [165] 爬墙蜘蛛 => SpiderNest, PrimaryEnvironment: SpiderNest
KL: [02:33:03.879] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [166] 沼泽怪 => None, PrimaryEnvironment: None
KL: [02:33:03.880] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [167] 亡灵维京海盗 => UndergroundSnow, PrimaryEnvironment: UndergroundSnow
KL: [02:33:03.881] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [168] 腐化企鹅 => None, PrimaryEnvironment: None
KL: [02:33:03.882] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [169] 冰雪精 => Snow, UndergroundSnow, PrimaryEnvironment: UndergroundSnow
KL: [02:33:03.883] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [170] 猪龙 => CorruptIce, PrimaryEnvironment: CorruptIce
KL: [02:33:03.884] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [171] 猪龙 => HallowIce, PrimaryEnvironment: HallowIce
KL: [02:33:03.885] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [172] 符文巫师 => Caverns, PrimaryEnvironment: Caverns
KL: [02:33:03.886] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [173] 猩红喀迈拉 => Crimson, UndergroundCrimson, PrimaryEnvironment: UndergroundCrimson
KL: [02:33:03.887] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [174] 蹦蹦兽 => Crimson, UndergroundCrimson, PrimaryEnvironment: UndergroundCrimson
KL: [02:33:03.888] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [175] 愤怒捕手 => Jungle, UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.889] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [176] 青苔黄蜂 => UndergroundJungle, PrimaryEnvironment: UndergroundJungle
KL: [02:33:03.890] [Main Thread/INFO] [KL]: [Log][SinglePlayer] NPC环境: [177] 跳跳兽 => Jungle, PrimaryEnvironment: Jungle
